time_of_day,day_of_week,disp,velocity,acc
2,3,10,0,20
2,3,23,15,15
2,3,38,30,15
2,3,54,46,15
2,3,69,61,15
2,3,83,76,14
2,3,97,90,14
2,3,113,106,15
2,3,129,121,15
2,3,145,137,15
3,3,160,152,15
3,3,175,167,14
3,3,188,181,13
3,3,7,0,14
3,3,22,14,14
3,3,37,29,15
3,3,51,44,14
3,3,67,59,15
3,3,82,74,15
3,3,99,91,16
3,3,114,106,15
3,3,128,121,14
3,3,144,136,15
3,3,158,151,14
3,3,176,168,16
5,3,7,0,15
5,3,23,15,15
5,3,39,31,16
5,3,53,46,14
5,3,68,61,15
5,3,83,75,14
5,3,98,90,14
5,3,113,105,14
5,3,128,120,15
5,3,144,136,15
5,3,158,151,15
5,3,175,167,15
5,3,188,181,14
5,3,7,0,14
5,3,21,14,14
5,3,36,29,14
5,3,51,44,14
5,3,66,59,14
5,3,81,74,15
5,3,97,90,15
5,3,112,104,14
5,3,128,120,15
5,3,142,135,14
5,3,157,149,14
5,3,171,164,14
5,3,191,182,17
5,3,7,0,14
5,3,22,15,15
5,3,37,30,15
5,3,52,45,14
5,3,69,61,16
5,3,8,0,16
5,3,21,14,14
3,4,4,0,8
3,4,23,15,15
3,4,38,31,15
3,4,55,47,15
3,4,69,61,14
3,4,84,77,15
3,4,99,92,15
3,4,114,107,15
3,4,129,122,14
3,4,146,138,16
3,4,160,152,14
3,4,6,0,13
3,4,7,0,15
3,4,22,15,15
3,4,36,29,14
3,4,52,44,15
3,4,67,59,14
3,4,82,74,15
3,4,98,90,16
3,4,114,106,15
3,4,129,122,15
3,4,143,136,14
3,4,158,150,14
3,4,172,164,14
3,4,185,178,13
3,4,200,193,14
5,5,5,0,11
5,5,22,15,15
5,5,37,29,14
5,5,52,44,14
5,5,66,59,14
5,5,81,73,14
5,5,96,88,15
5,5,111,104,15
5,5,125,118,14
5,5,140,132,14
5,5,155,147,14
5,5,170,162,14
5,5,185,177,14
5,5,199,192,14
5,5,214,207,14
5,5,229,222,14
5,5,245,237,15
5,5,260,252,15
5,5,274,267,14
5,5,289,281,14
5,5,304,296,14
5,5,318,311,14
5,5,334,326,15
5,5,348,341,14
5,5,363,356,14
5,5,378,371,15
5,5,394,386,15
5,5,408,401,14
5,5,423,416,14
5,5,437,430,14
5,5,451,444,14
5,5,466,459,14
5,5,481,474,14
5,5,495,488,14
5,5,509,502,14
5,5,524,516,14
5,5,538,531,14
5,5,552,545,14
5,5,560,555,9
5,5,576,569,14
5,6,7,0,15
5,6,23,15,15
5,6,38,30,15
5,6,52,45,14
5,6,67,60,15
5,6,83,75,15
5,6,98,90,14
5,6,112,105,14
5,6,128,120,15
5,6,144,136,15
5,6,160,152,15
5,6,175,167,15
5,6,191,183,15
5,6,207,199,15
5,6,222,214,15
5,6,238,230,15
5,6,253,246,15
5,6,268,260,14
5,6,282,275,14
5,6,298,290,15
5,6,313,305,15
5,6,328,321,15
5,6,343,336,14
5,6,358,350,14
5,6,374,366,15
5,6,389,381,15
5,6,404,396,15
5,6,419,411,14
5,6,433,426,14
5,6,448,441,14
5,6,464,456,15
5,6,478,471,14
5,6,492,485,14
5,6,508,500,15
5,6,522,515,14
5,6,536,529,14
5,6,550,543,14
3,1,6,0,13
3,1,22,15,15
3,1,37,30,15
3,1,54,46,15
3,1,68,61,14
3,1,83,75,14
3,1,98,90,14
3,1,113,105,15
3,1,127,120,14
3,1,142,135,14
3,1,156,149,14
3,1,167,161,11
3,1,183,175,14
3,1,197,190,14
3,1,213,206,15
3,1,228,221,14
3,1,243,236,15
3,1,259,251,15
3,1,275,267,15
3,1,290,283,15
3,1,304,297,14
3,1,7,0,14
3,1,22,15,15
3,1,37,30,14
3,1,52,44,14
3,1,66,59,14
3,1,8,0,17
3,1,7,0,14
3,1,22,15,15
3,1,38,30,15
3,1,54,46,16
3,1,69,61,15
3,1,84,76,14
3,1,99,92,15
3,1,114,107,15
3,1,130,122,15
3,1,145,137,15
3,1,160,152,14
3,1,174,167,14
4,1,7,0,15
4,1,22,15,15
4,1,37,30,14
4,1,52,45,15
4,1,67,60,14
4,1,82,75,14
4,1,98,90,15
4,1,115,107,16
4,1,131,123,16
4,1,145,138,15
4,1,160,153,14
4,1,175,168,14
4,1,8,0,16
3,2,8,0,16
3,2,22,15,15
3,2,38,30,15
3,2,54,46,16
3,2,70,62,15
3,2,85,77,15
3,2,100,92,15
3,2,116,108,15
3,2,130,123,14
3,2,146,138,15
3,2,162,154,15
3,2,175,168,13
3,2,188,181,13
3,2,7,0,15
5,2,7,0,15
5,2,22,14,14
5,2,37,30,15
5,2,53,45,15
5,2,67,60,14
5,2,82,75,14
5,2,98,90,15
5,2,114,106,15
5,2,129,121,15
5,2,144,136,15
5,2,160,152,15
5,2,176,168,15
5,2,191,184,15
5,2,207,199,15
5,2,223,215,15
5,2,239,231,16
5,2,255,247,15
5,2,270,262,15
5,2,286,278,15
5,2,302,294,15
5,2,317,309,15
5,2,332,325,15
5,2,349,341,15
5,2,364,356,15
5,2,379,372,15
5,2,395,387,15
5,2,411,403,15
5,2,427,419,15
5,2,443,435,15
5,2,458,450,15
5,2,473,466,15
5,2,489,481,15
5,2,505,497,15
5,2,521,513,15
5,2,535,528,15
5,2,549,542,14
5,2,563,556,13
5,2,577,570,14
2,3,6,0,12
2,3,22,15,15
2,3,38,30,15
2,3,55,47,16
2,3,69,62,15
2,3,84,76,14
2,3,99,92,15
2,3,115,107,15
2,3,130,122,15
3,3,146,138,15
3,3,161,153,15
3,3,173,166,12
3,3,191,183,16
3,2,9,0,18
3,2,22,14,14
3,2,37,30,15
3,2,54,46,15
3,2,68,60,14
3,2,84,76,15
3,2,98,91,14
3,2,115,107,16
3,2,129,122,14
3,2,144,137,14
3,2,160,152,15
3,2,173,166,13
3,2,187,180,14
4,2,3,0,6
4,2,22,14,14
4,2,37,29,15
4,2,53,45,15
4,2,67,60,14
4,2,82,74,14
4,2,97,90,15
4,2,114,106,15
4,2,128,121,15
4,2,143,136,15
4,2,158,151,14
4,2,173,165,14
4,2,182,177,11
